         420, 856,
         466, 847,
         505, 842,
         535, 842,
         566, 845,
         596, 849,
         626, 856,
         655, 865,
         699, 863,
         675, 824,
         644, 815,
         608, 807,
         571, 802,
         535, 801,
         499, 806,
         461, 824,
         1113, 850,
         1078, 845,
         1043, 839,
         995, 838,
         965, 841,
         935, 845,
         905, 852,
         875, 861,
         831, 859,
         855, 820,
         886, 812,
         923, 803,
         959, 798,
         995, 797,
         1048, 805,
         1084, 827,
         513, 938,
         522, 949,
         532, 956,
         544, 963,
         557, 967,
         570, 970,
         583, 971,
         597, 971,
         611, 970,
         624, 969,
         637, 969,
         651, 968,
         665, 967,
         656, 949,
         645, 935,
         634, 926,
         623, 918,
         609, 911,
         595, 907,
         579, 906,
         565, 908,
         551, 913,
         537, 919,
         524, 927,
         1021, 938,
         1012, 949,
         1002, 956,
         990, 963,
         977, 967,
         964, 970,
         951, 971,
         937, 971,
         923, 970,
         910, 969,
         897, 969,
         883, 968,
         869, 967,
         878, 949,
         889, 935,
         900, 926,
         911, 918,
         925, 911,
         939, 907,
         955, 906,
         969, 908,
         983, 913,
         997, 919,
         1010, 927,
         770, 1146.8771,
         770, 1101.5803,
         770, 1056.1879,
         770, 1010.6493,
         770, 965.0603,
         722.87726, 964.824,
         708.31067, 1038.7246,
         688.889, 1110.3508,
         656.34644, 1159.1434,
         660.7078, 1187.7578,
         704.272, 1209.2141,
         770, 1217.4113,
         835.728, 1209.2141,
         879.2922, 1187.7578,
         883.65356, 1159.1434,
         851.111, 1110.3508,
         831.68933, 1038.7246,
         817.12274, 964.824,
         740.1754, 1013.7032,
         714.5016, 1062.1138,
         799.8246, 1013.7032,
         825.4984, 1062.1138,
         622, 1300,
         635, 1316,
         648, 1328,
         661, 1340,
         675, 1349,
         693, 1362,
         710, 1371,
         729, 1376,
         749, 1378,
         768, 1379,
         786, 1378,
         808, 1377,
         827, 1373,
         844, 1365,
         864, 1352,
         879, 1339,
         892, 1327,
         902, 1315,
         913, 1299,
         896, 1295,
         876, 1292,
         857, 1289,
         836, 1286,
         820, 1284,
         806, 1284,
         794, 1285,
         781, 1290,
         768, 1292,
         754, 1287,
         741, 1283,
         725, 1284,
         706, 1286,
         690, 1290,
         671, 1293,
         651, 1296,
         633, 1298,
         633, 1304,
         641.5217, 1307.3600,
         657.0872, 1309.5306,
         672.6729, 1311.5363,
         688.2842, 1313.3221,
         704.0056, 1314.7630,
         719.7836, 1316.1371,
         735.5723, 1317.4945,
         751.3648, 1318.7210,
         767.0964, 1319.4322,
         782.4008, 1318.2466,
         797.7686, 1316.5758,
         813.1564, 1314.7689,
         828.5534, 1312.9249,
         843.8972, 1310.9819,
         859.1049, 1308.6587,
         874.2402, 1306.1005,
         889.3038, 1303.3749,
         904, 1299,
         889.2311, 1303.0198,
         873.9507, 1305.7314,
         858.6413, 1308.2759,
         843.3057, 1310.5828,
         827.9199, 1312.6306,
         812.5492, 1314.7590,
         797.2794, 1316.9737,
         782.1339, 1319.0460,
         767.0868, 1320.3833,
         751.5348, 1319.4594,
         735.9706, 1317.8169,
         720.3340, 1316.0682,
         704.6243, 1314.4331,
         688.8918, 1312.8875,
         673.1603, 1311.1251,
         657.3864, 1309.1206,
         641.5857, 1306.9475,
         364, 934,
         363, 973,
         364, 1015,
         370, 1054,
         380, 1095,
         390, 1133,
         398, 1172,
         408, 1212,
         421, 1249,
         436, 1286,
         456, 1323,
         475, 1355,
         502, 1390,
         530, 1422,
         560, 1447,
         593, 1471,
         624, 1492,
         660, 1510,
         696, 1524,
         734, 1535,
         774, 1539,
         814, 1537,
         851, 1527,
         887, 1509,
         921, 1491,
         953, 1468,
         984, 1440,
         1010, 1411,
         1034, 1377,
         1058, 1344,
         1081, 1312,
         1101, 1276,
         1116, 1240,
         1127, 1202,
         1138, 1164,
         1146, 1126,
         1155, 1088,
         1163, 1047,
         1169, 1008,
         1171, 968,
         1169, 928,
         1139, 801,
         1047, 670,
         913, 582,
         755, 553,
         596, 587,
         461, 680,
         373, 814,
         583.7710, 936.5021,
         937.1252, 935.7339,
         546.7165, 936.3725,
         549.4874, 950.5624,
         557.4779, 962.6118,
         569.4708, 970.6862,
         583.6411, 973.5568,
         597.8312, 970.7854,
         609.8807, 962.7954,
         617.9549, 950.8022,
         620.8253, 936.6319,
         618.0544, 922.4416,
         610.0639, 910.3924,
         598.0706, 902.3178,
         583.9005, 899.4477,
         569.7104, 902.2188,
         557.6611, 910.2089,
         549.5868, 922.2023,
         975.2966, 935.3645,
         972.5323, 949.9999,
         964.3775, 962.4641,
         952.0740, 970.8583,
         937.4942, 973.9054,
         922.8586, 971.1411,
         910.3946, 962.9861,
         902.0002, 950.6826,
         898.9534, 936.1027,
         901.7176, 921.4671,
         909.8724, 909.0035,
         922.1762, 900.6090,
         936.7558, 897.5620,
         951.3915, 900.3260,
         963.8554, 908.4812,
         972.2498, 920.7850
